          NSD  Filename
        0.000  BSA_20fast_06-1.pdb
        0.738  BSA_20fast_11-1r.pdb
        0.731  BSA_20fast_18-1r.pdb
        0.707  BSA_20fast_14-1r.pdb
        0.695  BSA_20fast_10-1r.pdb
        0.814  BSA_20fast_07-1r.pdb
        0.742  BSA_20fast_17-1r.pdb
        0.694  BSA_20fast_19-1r.pdb
        0.734  BSA_20fast_12-1r.pdb
        0.747  BSA_20fast_02-1r.pdb
        0.779  BSA_20fast_09-1r.pdb
        0.728  BSA_20fast_01-1r.pdb
        0.762  BSA_20fast_08-1r.pdb
        0.790  BSA_20fast_15-1r.pdb
        0.742  BSA_20fast_13-1r.pdb
        0.809  BSA_20fast_16-1r.pdb
        0.854  BSA_20fast_04-1r.pdb
        0.785  BSA_20fast_05-1r.pdb
        0.803  BSA_20fast_03-1r.pdb
