
           ####      G N O M             Version 5.0 (r10552)      ####
                                               Mon Mar 30 11:22:40 2020

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        94.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  no 
    Initial alpha:                       0.0000
    Initial random seed:    5051140700953800395
    Points in real space:                   171

    Input  1:                      tmpby05ww94.dat
    First data point used:                    1
    Last data point used:                   205
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.950   1.322   0.006   1.000   1.000   0.925   0.084
               --------------------------------------------------------
    Estimate      0.498   0.872   0.997   1.000   1.000   0.957   0.981

    Angular range:                       0.0107 to       0.2830
    Reciprocal space Rg:             0.2835E+02
    Reciprocal space I(0):           0.1235E-01

    Real space range:                    0.0000 to      94.0000
    Real space Rg:                   0.2835E+02 +-   0.2781E+00
    Real space I(0):                 0.1235E-01 +-   0.8780E-04

    Highest ALPHA (theor):           0.3550E+04
    Current ALPHA:                   0.5873E+01

    Total Estimate:                      0.9265 (a EXCELLENT solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.123494E-01
   0.118802E-02                                                0.123447E-01
   0.237605E-02                                                0.123307E-01
   0.356407E-02                                                0.123074E-01
   0.475210E-02                                                0.122749E-01
   0.594012E-02                                                0.122332E-01
   0.712814E-02                                                0.121824E-01
   0.831617E-02                                                0.121227E-01
   0.950419E-02                                                0.120541E-01
   0.106922E-01   0.114058E-01   0.131482E-02   0.119769E-01   0.119769E-01
   0.120287E-01   0.116182E-01   0.125426E-02   0.118798E-01   0.118798E-01
   0.133653E-01   0.120876E-01   0.537243E-03   0.117723E-01   0.117723E-01
   0.147018E-01   0.113585E-01   0.324624E-03   0.116545E-01   0.116545E-01
   0.160383E-01   0.111620E-01   0.263057E-03   0.115269E-01   0.115269E-01
   0.173748E-01   0.118439E-01   0.227927E-03   0.113897E-01   0.113897E-01
   0.187113E-01   0.108177E-01   0.210149E-03   0.112434E-01   0.112434E-01
   0.200478E-01   0.111372E-01   0.205301E-03   0.110883E-01   0.110883E-01
   0.213843E-01   0.106650E-01   0.182304E-03   0.109249E-01   0.109249E-01
   0.227208E-01   0.105498E-01   0.166993E-03   0.107535E-01   0.107535E-01
   0.240573E-01   0.101131E-01   0.158165E-03   0.105747E-01   0.105747E-01
   0.253938E-01   0.102830E-01   0.150788E-03   0.103889E-01   0.103889E-01
   0.267303E-01   0.105626E-01   0.146701E-03   0.101965E-01   0.101965E-01
   0.280667E-01   0.101063E-01   0.137779E-03   0.999815E-02   0.999815E-02
   0.294032E-01   0.966693E-02   0.129547E-03   0.979419E-02   0.979419E-02
   0.307397E-01   0.987847E-02   0.131506E-03   0.958518E-02   0.958518E-02
   0.320761E-01   0.931505E-02   0.121908E-03   0.937163E-02   0.937163E-02
   0.334126E-01   0.930819E-02   0.120979E-03   0.915403E-02   0.915403E-02
   0.347490E-01   0.915845E-02   0.117614E-03   0.893290E-02   0.893290E-02
   0.360855E-01   0.878238E-02   0.110338E-03   0.870874E-02   0.870874E-02
   0.374219E-01   0.845557E-02   0.108897E-03   0.848206E-02   0.848206E-02
   0.387584E-01   0.815850E-02   0.104793E-03   0.825335E-02   0.825335E-02
   0.400948E-01   0.808981E-02   0.104678E-03   0.802312E-02   0.802312E-02
   0.414312E-01   0.773333E-02   0.101170E-03   0.779183E-02   0.779183E-02
   0.427676E-01   0.757552E-02   0.968394E-04   0.755997E-02   0.755997E-02
   0.441040E-01   0.739842E-02   0.929269E-04   0.732800E-02   0.732800E-02
   0.454404E-01   0.705874E-02   0.885004E-04   0.709636E-02   0.709636E-02
   0.467768E-01   0.688188E-02   0.879612E-04   0.686550E-02   0.686550E-02
   0.481131E-01   0.674810E-02   0.870623E-04   0.663583E-02   0.663583E-02
   0.494495E-01   0.653008E-02   0.842795E-04   0.640775E-02   0.640775E-02
   0.507859E-01   0.617949E-02   0.811414E-04   0.618165E-02   0.618165E-02
   0.521222E-01   0.614026E-02   0.789212E-04   0.595790E-02   0.595790E-02
   0.534585E-01   0.575246E-02   0.786216E-04   0.573685E-02   0.573685E-02
   0.547949E-01   0.541474E-02   0.770911E-04   0.551882E-02   0.551882E-02
   0.561312E-01   0.516418E-02   0.739634E-04   0.530412E-02   0.530412E-02
   0.574675E-01   0.503516E-02   0.737917E-04   0.509304E-02   0.509304E-02
   0.588038E-01   0.495406E-02   0.730564E-04   0.488584E-02   0.488584E-02
   0.601401E-01   0.490055E-02   0.709522E-04   0.468278E-02   0.468278E-02
   0.614763E-01   0.448787E-02   0.686843E-04   0.448406E-02   0.448406E-02
   0.628126E-01   0.427940E-02   0.673668E-04   0.428989E-02   0.428989E-02
   0.641489E-01   0.406160E-02   0.648789E-04   0.410046E-02   0.410046E-02
   0.654851E-01   0.381680E-02   0.640330E-04   0.391592E-02   0.391592E-02
   0.668213E-01   0.370732E-02   0.628147E-04   0.373641E-02   0.373641E-02
   0.681575E-01   0.350998E-02   0.613672E-04   0.356204E-02   0.356204E-02
   0.694937E-01   0.338643E-02   0.635595E-04   0.339291E-02   0.339291E-02
   0.708299E-01   0.331429E-02   0.627163E-04   0.322910E-02   0.322910E-02
   0.721661E-01   0.302311E-02   0.614655E-04   0.307067E-02   0.307067E-02
   0.735023E-01   0.288715E-02   0.602672E-04   0.291766E-02   0.291766E-02
   0.748384E-01   0.285007E-02   0.598475E-04   0.277009E-02   0.277009E-02
   0.761746E-01   0.260266E-02   0.577794E-04   0.262796E-02   0.262796E-02
   0.775107E-01   0.255784E-02   0.581107E-04   0.249127E-02   0.249127E-02
   0.788468E-01   0.235299E-02   0.561357E-04   0.235998E-02   0.235998E-02
   0.801829E-01   0.233625E-02   0.586288E-04   0.223406E-02   0.223406E-02
   0.815190E-01   0.211558E-02   0.534750E-04   0.211346E-02   0.211346E-02
   0.828550E-01   0.200007E-02   0.537296E-04   0.199810E-02   0.199810E-02
   0.841911E-01   0.186842E-02   0.525925E-04   0.188791E-02   0.188791E-02
   0.855271E-01   0.172665E-02   0.497189E-04   0.178280E-02   0.178280E-02
   0.868631E-01   0.174142E-02   0.539715E-04   0.168268E-02   0.168268E-02
   0.881991E-01   0.158647E-02   0.543152E-04   0.158743E-02   0.158743E-02
   0.895351E-01   0.144720E-02   0.500215E-04   0.149694E-02   0.149694E-02
   0.908711E-01   0.141733E-02   0.519802E-04   0.141109E-02   0.141109E-02
   0.922070E-01   0.137693E-02   0.522989E-04   0.132975E-02   0.132975E-02
   0.935429E-01   0.125588E-02   0.515879E-04   0.125279E-02   0.125279E-02
   0.948789E-01   0.121188E-02   0.507742E-04   0.118006E-02   0.118006E-02
   0.962148E-01   0.110134E-02   0.471069E-04   0.111143E-02   0.111143E-02
   0.975506E-01   0.113447E-02   0.503949E-04   0.104675E-02   0.104675E-02
   0.988865E-01   0.901127E-03   0.453638E-04   0.985877E-03   0.985877E-03
   0.100222E+00   0.989644E-03   0.506274E-04   0.928660E-03   0.928660E-03
   0.101558E+00   0.846976E-03   0.433236E-04   0.874951E-03   0.874951E-03
   0.102894E+00   0.856991E-03   0.482698E-04   0.824601E-03   0.824601E-03
   0.104230E+00   0.763739E-03   0.450154E-04   0.777461E-03   0.777461E-03
   0.105566E+00   0.695226E-03   0.391945E-04   0.733384E-03   0.733384E-03
   0.106901E+00   0.653129E-03   0.431189E-04   0.692222E-03   0.692222E-03
   0.108237E+00   0.681766E-03   0.405117E-04   0.653833E-03   0.653833E-03
   0.109573E+00   0.558702E-03   0.412773E-04   0.618073E-03   0.618073E-03
   0.110908E+00   0.581194E-03   0.439678E-04   0.584804E-03   0.584804E-03
   0.112244E+00   0.630695E-03   0.406566E-04   0.553888E-03   0.553888E-03
   0.113580E+00   0.521475E-03   0.370752E-04   0.525193E-03   0.525193E-03
   0.114915E+00   0.483742E-03   0.414124E-04   0.498589E-03   0.498589E-03
   0.116251E+00   0.521483E-03   0.390687E-04   0.473950E-03   0.473950E-03
   0.117587E+00   0.459836E-03   0.339309E-04   0.451155E-03   0.451155E-03
   0.118922E+00   0.414618E-03   0.320853E-04   0.430086E-03   0.430086E-03
   0.120258E+00   0.392987E-03   0.351464E-04   0.410629E-03   0.410629E-03
   0.121593E+00   0.291654E-03   0.314943E-04   0.392676E-03   0.392676E-03
   0.122929E+00   0.388387E-03   0.407367E-04   0.376121E-03   0.376121E-03
   0.124264E+00   0.307881E-03   0.324813E-04   0.360864E-03   0.360864E-03
   0.125600E+00   0.372803E-03   0.362294E-04   0.346810E-03   0.346810E-03
   0.126935E+00   0.311877E-03   0.329293E-04   0.333867E-03   0.333867E-03
   0.128270E+00   0.376924E-03   0.399486E-04   0.321949E-03   0.321949E-03
   0.129606E+00   0.332419E-03   0.360796E-04   0.310972E-03   0.310972E-03
   0.130941E+00   0.345780E-03   0.443083E-04   0.300859E-03   0.300859E-03
   0.132276E+00   0.256296E-03   0.296256E-04   0.291536E-03   0.291536E-03
   0.133612E+00   0.304484E-03   0.112046E-03   0.282933E-03   0.282933E-03
   0.134947E+00   0.320349E-03   0.411320E-04   0.274985E-03   0.274985E-03
   0.136282E+00   0.291611E-03   0.340171E-04   0.267630E-03   0.267630E-03
   0.137618E+00   0.223186E-03   0.308120E-04   0.260811E-03   0.260811E-03
   0.138953E+00   0.294448E-03   0.306961E-04   0.254474E-03   0.254474E-03
   0.140288E+00   0.226722E-03   0.237942E-04   0.248569E-03   0.248569E-03
   0.141623E+00   0.240905E-03   0.326874E-04   0.243050E-03   0.243050E-03
   0.142958E+00   0.226012E-03   0.296110E-04   0.237873E-03   0.237873E-03
   0.144293E+00   0.224575E-03   0.325149E-04   0.232998E-03   0.232998E-03
   0.145628E+00   0.219726E-03   0.322948E-04   0.228390E-03   0.228390E-03
   0.146963E+00   0.211195E-03   0.364961E-04   0.224014E-03   0.224014E-03
   0.148298E+00   0.173356E-03   0.353745E-04   0.219841E-03   0.219841E-03
   0.149633E+00   0.234082E-03   0.287724E-04   0.215842E-03   0.215842E-03
   0.150968E+00   0.223187E-03   0.347942E-04   0.211992E-03   0.211992E-03
   0.152303E+00   0.190563E-03   0.295881E-04   0.208269E-03   0.208269E-03
   0.153638E+00   0.153139E-03   0.297933E-04   0.204652E-03   0.204652E-03
   0.154973E+00   0.214278E-03   0.328311E-04   0.201124E-03   0.201124E-03
   0.156308E+00   0.273054E-03   0.355034E-04   0.197668E-03   0.197668E-03
   0.157643E+00   0.219002E-03   0.268338E-04   0.194271E-03   0.194271E-03
   0.158978E+00   0.217920E-03   0.235292E-04   0.190922E-03   0.190922E-03
   0.160312E+00   0.114924E-03   0.365081E-03   0.187610E-03   0.187610E-03
   0.161647E+00   0.265191E-03   0.307186E-04   0.184327E-03   0.184327E-03
   0.162982E+00   0.186690E-03   0.968799E-04   0.181065E-03   0.181065E-03
   0.164317E+00   0.148853E-03   0.357298E-04   0.177821E-03   0.177821E-03
   0.165651E+00   0.118951E-03   0.207153E-04   0.174589E-03   0.174589E-03
   0.166986E+00   0.193276E-03   0.373827E-04   0.171366E-03   0.171366E-03
   0.168320E+00   0.193286E-03   0.239011E-04   0.168151E-03   0.168151E-03
   0.169655E+00   0.159803E-03   0.305256E-04   0.164944E-03   0.164944E-03
   0.170989E+00   0.137088E-03   0.295912E-04   0.161743E-03   0.161743E-03
   0.172324E+00   0.135584E-03   0.322751E-04   0.158551E-03   0.158551E-03
   0.173658E+00   0.145437E-03   0.298928E-04   0.155369E-03   0.155369E-03
   0.174993E+00   0.137692E-03   0.257947E-04   0.152199E-03   0.152199E-03
   0.176327E+00   0.165293E-03   0.285460E-04   0.149044E-03   0.149044E-03
   0.177662E+00   0.130716E-03   0.374172E-04   0.145908E-03   0.145908E-03
   0.178996E+00   0.129154E-03   0.283817E-04   0.142793E-03   0.142793E-03
   0.180330E+00   0.155915E-03   0.538708E-04   0.139703E-03   0.139703E-03
   0.181665E+00   0.176011E-03   0.225055E-04   0.136643E-03   0.136643E-03
   0.182999E+00   0.141218E-03   0.218231E-04   0.133617E-03   0.133617E-03
   0.184333E+00   0.128237E-03   0.304974E-04   0.130629E-03   0.130629E-03
   0.185667E+00   0.134683E-03   0.250481E-04   0.127683E-03   0.127683E-03
   0.187001E+00   0.171188E-03   0.285941E-04   0.124784E-03   0.124784E-03
   0.188335E+00   0.149794E-03   0.293937E-04   0.121935E-03   0.121935E-03
   0.189669E+00   0.885914E-04   0.266494E-04   0.119140E-03   0.119140E-03
   0.191003E+00   0.918400E-04   0.280486E-04   0.116403E-03   0.116403E-03
   0.192337E+00   0.112913E-03   0.282582E-04   0.113728E-03   0.113728E-03
   0.193671E+00   0.800008E-04   0.251342E-04   0.111115E-03   0.111115E-03
   0.195005E+00   0.116655E-03   0.313191E-04   0.108571E-03   0.108571E-03
   0.196339E+00   0.148333E-03   0.355949E-04   0.106096E-03   0.106096E-03
   0.197673E+00   0.108629E-03   0.307042E-04   0.103693E-03   0.103693E-03
   0.199007E+00   0.653077E-04   0.274031E-04   0.101364E-03   0.101364E-03
   0.200341E+00   0.784150E-04   0.295297E-04   0.991086E-04   0.991086E-04
   0.201674E+00   0.121102E-03   0.120470E-03   0.969292E-04   0.969292E-04
   0.203008E+00   0.873327E-04   0.865070E-04   0.948260E-04   0.948260E-04
   0.204342E+00   0.574482E-04   0.288871E-04   0.927992E-04   0.927992E-04
   0.205675E+00   0.148968E-03   0.315333E-04   0.908484E-04   0.908484E-04
   0.207009E+00   0.109623E-03   0.624409E-04   0.889732E-04   0.889732E-04
   0.208342E+00   0.109840E-03   0.387284E-04   0.871727E-04   0.871727E-04
   0.209676E+00   0.470207E-04   0.369563E-04   0.854455E-04   0.854455E-04
   0.211009E+00   0.149320E-03   0.276361E-03   0.837900E-04   0.837900E-04
   0.212343E+00   0.858779E-04   0.390209E-04   0.822044E-04   0.822044E-04
   0.213676E+00   0.555154E-04   0.303162E-04   0.806866E-04   0.806866E-04
   0.215010E+00   0.159244E-04   0.308586E-04   0.792343E-04   0.792343E-04
   0.216343E+00   0.782174E-04   0.233049E-04   0.778447E-04   0.778447E-04
   0.217676E+00   0.924040E-04   0.268464E-04   0.765153E-04   0.765153E-04
   0.219009E+00   0.115189E-03   0.278574E-04   0.752432E-04   0.752432E-04
   0.220343E+00   0.104791E-03   0.264755E-04   0.740253E-04   0.740253E-04
   0.221676E+00   0.654175E-04   0.740126E-04   0.728585E-04   0.728585E-04
   0.223009E+00   0.636711E-04   0.228854E-04   0.717398E-04   0.717398E-04
   0.224342E+00   0.110091E-03   0.690685E-04   0.706661E-04   0.706661E-04
   0.225675E+00   0.584253E-04   0.616450E-04   0.696341E-04   0.696341E-04
   0.227008E+00   0.512261E-04   0.505299E-04   0.686409E-04   0.686409E-04
   0.228341E+00   0.412128E-04   0.223727E-04   0.676833E-04   0.676833E-04
   0.229674E+00   0.964413E-04   0.264425E-04   0.667584E-04   0.667584E-04
   0.231007E+00   0.842612E-04   0.270549E-04   0.658634E-04   0.658634E-04
   0.232340E+00   0.397099E-04   0.296432E-04   0.649957E-04   0.649957E-04
   0.233672E+00   0.615996E-04   0.217928E-04   0.641526E-04   0.641526E-04
   0.235005E+00   0.303341E-04   0.786866E-03   0.633317E-04   0.633317E-04
   0.236338E+00   0.957460E-04   0.422617E-04   0.625308E-04   0.625308E-04
   0.237670E+00   0.744150E-04   0.292700E-04   0.617478E-04   0.617478E-04
   0.239003E+00   0.737337E-04   0.220302E-04   0.609810E-04   0.609810E-04
   0.240336E+00   0.608489E-04   0.305556E-04   0.602284E-04   0.602284E-04
   0.241668E+00   0.270071E-04   0.252255E-04   0.594893E-04   0.594893E-04
   0.243001E+00   0.772343E-05   0.547533E-04   0.587617E-04   0.587617E-04
   0.244333E+00   0.556733E-04   0.305303E-04   0.580446E-04   0.580446E-04
   0.245665E+00   0.105252E-03   0.469082E-04   0.573373E-04   0.573373E-04
   0.246998E+00   0.375528E-04   0.308021E-04   0.566391E-04   0.566391E-04
   0.248330E+00   0.556470E-04   0.289418E-04   0.559494E-04   0.559494E-04
   0.249662E+00   0.768321E-04   0.265166E-04   0.552677E-04   0.552677E-04
   0.250994E+00   0.230818E-04   0.430871E-04   0.545940E-04   0.545940E-04
   0.252327E+00   0.190043E-04   0.235673E-04   0.539281E-04   0.539281E-04
   0.253659E+00   0.176505E-04   0.742146E-04   0.532700E-04   0.532700E-04
   0.254991E+00   0.583251E-04   0.435096E-04   0.526197E-04   0.526197E-04
   0.256323E+00   0.220291E-04   0.120851E-03   0.519778E-04   0.519778E-04
   0.257655E+00   0.506144E-04   0.232192E-04   0.513443E-04   0.513443E-04
   0.258987E+00   0.675802E-04   0.236000E-04   0.507195E-04   0.507195E-04
   0.260318E+00   0.117135E-03   0.333725E-04   0.501040E-04   0.501040E-04
   0.261650E+00   0.242497E-04   0.381211E-03   0.494981E-04   0.494981E-04
   0.262982E+00   0.262161E-04   0.185565E-03   0.489023E-04   0.489023E-04
   0.264314E+00   0.236338E-04   0.284211E-04   0.483170E-04   0.483170E-04
   0.265645E+00   0.503032E-04   0.493482E-03   0.477426E-04   0.477426E-04
   0.266977E+00   0.704834E-04   0.986389E-04   0.471796E-04   0.471796E-04
   0.268309E+00   0.666002E-04   0.336118E-04   0.466282E-04   0.466282E-04
   0.269640E+00   0.378817E-04   0.238552E-04   0.460897E-04   0.460897E-04
   0.270972E+00   0.396708E-04   0.699177E-04   0.455618E-04   0.455618E-04
   0.272303E+00   0.404827E-04   0.364627E-04   0.450472E-04   0.450472E-04
   0.273635E+00   0.421591E-04   0.307408E-04   0.445453E-04   0.445453E-04
   0.274966E+00   0.645206E-04   0.163312E-03   0.440560E-04   0.440560E-04
   0.276297E+00   0.342378E-04   0.240215E-04   0.435794E-04   0.435794E-04
   0.277628E+00   0.416921E-04   0.211153E-04   0.431154E-04   0.431154E-04
   0.278960E+00   0.689574E-04   0.233524E-04   0.426639E-04   0.426639E-04
   0.280291E+00   0.206492E-04   0.234340E-04   0.422247E-04   0.422247E-04
   0.281622E+00   0.475979E-04   0.232626E-04   0.417974E-04   0.417974E-04
   0.282953E+00   0.183897E-04   0.328060E-04   0.413817E-04   0.413817E-04

           ####      Real Space Data                               ####

           Distance distribution  function of particle  


      R          P(R)      ERROR

  0.0000E+00  0.0000E+00  0.0000E+00
  0.5529E+00  0.1611E-06  0.2195E-07
  0.1106E+01  0.3517E-06  0.3961E-07
  0.1659E+01  0.5717E-06  0.5308E-07
  0.2212E+01  0.8207E-06  0.6253E-07
  0.2765E+01  0.1098E-05  0.6818E-07
  0.3318E+01  0.1403E-05  0.7034E-07
  0.3871E+01  0.1736E-05  0.6934E-07
  0.4424E+01  0.2094E-05  0.6563E-07
  0.4976E+01  0.2477E-05  0.5973E-07
  0.5529E+01  0.2885E-05  0.5233E-07
  0.6082E+01  0.3314E-05  0.4439E-07
  0.6635E+01  0.3765E-05  0.3742E-07
  0.7188E+01  0.4236E-05  0.3369E-07
  0.7741E+01  0.4726E-05  0.3524E-07
  0.8294E+01  0.5232E-05  0.4173E-07
  0.8847E+01  0.5753E-05  0.5110E-07
  0.9400E+01  0.6287E-05  0.6155E-07
  0.9953E+01  0.6834E-05  0.7195E-07
  0.1051E+02  0.7390E-05  0.8163E-07
  0.1106E+02  0.7955E-05  0.9014E-07
  0.1161E+02  0.8526E-05  0.9717E-07
  0.1216E+02  0.9103E-05  0.1025E-06
  0.1272E+02  0.9683E-05  0.1061E-06
  0.1327E+02  0.1026E-04  0.1079E-06
  0.1382E+02  0.1085E-04  0.1080E-06
  0.1438E+02  0.1143E-04  0.1065E-06
  0.1493E+02  0.1200E-04  0.1036E-06
  0.1548E+02  0.1258E-04  0.9965E-07
  0.1604E+02  0.1314E-04  0.9509E-07
  0.1659E+02  0.1370E-04  0.9041E-07
  0.1714E+02  0.1426E-04  0.8623E-07
  0.1769E+02  0.1480E-04  0.8317E-07
  0.1825E+02  0.1533E-04  0.8180E-07
  0.1880E+02  0.1585E-04  0.8246E-07
  0.1935E+02  0.1636E-04  0.8515E-07
  0.1991E+02  0.1686E-04  0.8957E-07
  0.2046E+02  0.1734E-04  0.9520E-07
  0.2101E+02  0.1781E-04  0.1015E-06
  0.2156E+02  0.1826E-04  0.1078E-06
  0.2212E+02  0.1869E-04  0.1138E-06
  0.2267E+02  0.1911E-04  0.1190E-06
  0.2322E+02  0.1951E-04  0.1233E-06
  0.2378E+02  0.1990E-04  0.1263E-06
  0.2433E+02  0.2026E-04  0.1281E-06
  0.2488E+02  0.2061E-04  0.1286E-06
  0.2544E+02  0.2094E-04  0.1278E-06
  0.2599E+02  0.2125E-04  0.1261E-06
  0.2654E+02  0.2154E-04  0.1235E-06
  0.2709E+02  0.2182E-04  0.1205E-06
  0.2765E+02  0.2207E-04  0.1173E-06
  0.2820E+02  0.2230E-04  0.1145E-06
  0.2875E+02  0.2251E-04  0.1126E-06
  0.2931E+02  0.2271E-04  0.1118E-06
  0.2986E+02  0.2288E-04  0.1125E-06
  0.3041E+02  0.2303E-04  0.1148E-06
  0.3096E+02  0.2316E-04  0.1186E-06
  0.3152E+02  0.2328E-04  0.1236E-06
  0.3207E+02  0.2337E-04  0.1295E-06
  0.3262E+02  0.2344E-04  0.1358E-06
  0.3318E+02  0.2349E-04  0.1422E-06
  0.3373E+02  0.2352E-04  0.1483E-06
  0.3428E+02  0.2352E-04  0.1537E-06
  0.3484E+02  0.2351E-04  0.1583E-06
  0.3539E+02  0.2348E-04  0.1620E-06
  0.3594E+02  0.2343E-04  0.1645E-06
  0.3649E+02  0.2335E-04  0.1658E-06
  0.3705E+02  0.2326E-04  0.1661E-06
  0.3760E+02  0.2315E-04  0.1653E-06
  0.3815E+02  0.2301E-04  0.1637E-06
  0.3871E+02  0.2286E-04  0.1615E-06
  0.3926E+02  0.2269E-04  0.1588E-06
  0.3981E+02  0.2250E-04  0.1561E-06
  0.4036E+02  0.2229E-04  0.1534E-06
  0.4092E+02  0.2206E-04  0.1513E-06
  0.4147E+02  0.2181E-04  0.1498E-06
  0.4202E+02  0.2155E-04  0.1492E-06
  0.4258E+02  0.2127E-04  0.1494E-06
  0.4313E+02  0.2098E-04  0.1506E-06
  0.4368E+02  0.2067E-04  0.1526E-06
  0.4424E+02  0.2034E-04  0.1552E-06
  0.4479E+02  0.2000E-04  0.1581E-06
  0.4534E+02  0.1965E-04  0.1612E-06
  0.4589E+02  0.1928E-04  0.1643E-06
  0.4645E+02  0.1890E-04  0.1671E-06
  0.4700E+02  0.1852E-04  0.1695E-06
  0.4755E+02  0.1812E-04  0.1714E-06
  0.4811E+02  0.1771E-04  0.1728E-06
  0.4866E+02  0.1729E-04  0.1737E-06
  0.4921E+02  0.1687E-04  0.1743E-06
  0.4976E+02  0.1644E-04  0.1745E-06
  0.5032E+02  0.1600E-04  0.1747E-06
  0.5087E+02  0.1556E-04  0.1750E-06
  0.5142E+02  0.1511E-04  0.1755E-06
  0.5198E+02  0.1466E-04  0.1765E-06
  0.5253E+02  0.1421E-04  0.1782E-06
  0.5308E+02  0.1376E-04  0.1805E-06
  0.5364E+02  0.1331E-04  0.1836E-06
  0.5419E+02  0.1286E-04  0.1873E-06
  0.5474E+02  0.1241E-04  0.1916E-06
  0.5529E+02  0.1196E-04  0.1964E-06
  0.5585E+02  0.1151E-04  0.2013E-06
  0.5640E+02  0.1107E-04  0.2063E-06
  0.5695E+02  0.1064E-04  0.2111E-06
  0.5751E+02  0.1021E-04  0.2156E-06
  0.5806E+02  0.9783E-05  0.2195E-06
  0.5861E+02  0.9366E-05  0.2228E-06
  0.5916E+02  0.8956E-05  0.2254E-06
  0.5972E+02  0.8555E-05  0.2272E-06
  0.6027E+02  0.8162E-05  0.2283E-06
  0.6082E+02  0.7778E-05  0.2286E-06
  0.6138E+02  0.7405E-05  0.2283E-06
  0.6193E+02  0.7041E-05  0.2275E-06
  0.6248E+02  0.6688E-05  0.2262E-06
  0.6304E+02  0.6346E-05  0.2248E-06
  0.6359E+02  0.6015E-05  0.2233E-06
  0.6414E+02  0.5696E-05  0.2219E-06
  0.6469E+02  0.5388E-05  0.2208E-06
  0.6525E+02  0.5092E-05  0.2201E-06
  0.6580E+02  0.4808E-05  0.2199E-06
  0.6635E+02  0.4536E-05  0.2202E-06
  0.6691E+02  0.4276E-05  0.2212E-06
  0.6746E+02  0.4027E-05  0.2227E-06
  0.6801E+02  0.3791E-05  0.2248E-06
  0.6856E+02  0.3566E-05  0.2272E-06
  0.6912E+02  0.3352E-05  0.2300E-06
  0.6967E+02  0.3150E-05  0.2330E-06
  0.7022E+02  0.2958E-05  0.2361E-06
  0.7078E+02  0.2778E-05  0.2392E-06
  0.7133E+02  0.2608E-05  0.2422E-06
  0.7188E+02  0.2448E-05  0.2450E-06
  0.7244E+02  0.2297E-05  0.2476E-06
  0.7299E+02  0.2156E-05  0.2499E-06
  0.7354E+02  0.2024E-05  0.2518E-06
  0.7409E+02  0.1900E-05  0.2534E-06
  0.7465E+02  0.1784E-05  0.2546E-06
  0.7520E+02  0.1676E-05  0.2553E-06
