
           ####      G N O M             Version 5.0 (r10552)      ####
                                               Fri Apr  3 10:15:19 2020

           ####      Configuration                                 ####

    System Type:                   arbitrary monodisperse (job = 0)
    Minimum characteristic size:         0.0000
    Maximum characteristic size:        88.0000
    rad56:                               0.0000
    Force 0.0 at r = rmin:                  yes
    Force 0.0 at r = rmax:                  yes
    Initial alpha:                       0.0000
    Initial random seed:    4636819557908547294
    Points in real space:                   171

    Input  1:                      tmpcS28ND.dat
    First data point used:                    1
    Last data point used:                   217
    Scaling coefficient:             0.1000E+01
    Experimental setup:            point collimation



           ####      Results                                       ####

    Parameter    DISCRP  OSCILL  STABIL  SYSDEV  POSITV  VALCEN  SMOOTH
    Weight        1.000   3.000   3.000   3.000   1.000   1.000   1.000
    Sigma         0.300   0.600   0.120   0.120   0.120   0.120   0.600
    Ideal         0.700   1.100   0.000   1.000   1.000   0.950   0.000
    Current       0.928   1.233   0.008   0.972   1.000   0.937   0.493
               --------------------------------------------------------
    Estimate      0.561   0.952   0.995   1.000   1.000   0.989   0.509

    Angular range:                       0.0107 to       0.2989
    Reciprocal space Rg:             0.2828E+02
    Reciprocal space I(0):           0.1348E-01

    Real space range:                    0.0000 to      88.0000
    Real space Rg:                   0.2827E+02 +-   0.1398E+00
    Real space I(0):                 0.1348E-01 +-   0.6839E-04

    Highest ALPHA (theor):           0.3560E+04
    Current ALPHA:                   0.1012E+02

    Total Estimate:                      0.9154 (a EXCELLENT solution)



           ####      Experimental Data and Fit                     ####

      S          J EXP       ERROR       J REG       I REG

   0.000000E+00                                                0.134802E-01
   0.118802E-02                                                0.134752E-01
   0.237605E-02                                                0.134600E-01
   0.356407E-02                                                0.134347E-01
   0.475210E-02                                                0.133994E-01
   0.594012E-02                                                0.133541E-01
   0.712814E-02                                                0.132989E-01
   0.831617E-02                                                0.132341E-01
   0.950419E-02                                                0.131596E-01
   0.106922E-01   0.121169E-01   0.122284E-02   0.130757E-01   0.130757E-01
   0.120287E-01   0.127253E-01   0.138986E-02   0.129702E-01   0.129702E-01
   0.133653E-01   0.134921E-01   0.611118E-03   0.128534E-01   0.128534E-01
   0.147018E-01   0.126611E-01   0.367670E-03   0.127254E-01   0.127254E-01
   0.160383E-01   0.123471E-01   0.296683E-03   0.125866E-01   0.125866E-01
   0.173748E-01   0.128317E-01   0.255411E-03   0.124375E-01   0.124375E-01
   0.187113E-01   0.119006E-01   0.235635E-03   0.122784E-01   0.122784E-01
   0.200478E-01   0.121882E-01   0.230276E-03   0.121097E-01   0.121097E-01
   0.213843E-01   0.115117E-01   0.201178E-03   0.119319E-01   0.119319E-01
   0.227208E-01   0.115666E-01   0.184445E-03   0.117454E-01   0.117454E-01
   0.240573E-01   0.111251E-01   0.178587E-03   0.115507E-01   0.115507E-01
   0.253938E-01   0.113446E-01   0.170726E-03   0.113483E-01   0.113483E-01
   0.267303E-01   0.113978E-01   0.162462E-03   0.111388E-01   0.111388E-01
   0.280667E-01   0.109755E-01   0.153940E-03   0.109226E-01   0.109226E-01
