### DATA:

         Q               I              Error
430
1.06922151E-02 2.77757866E-02 3.64079882E-03
1.20287357E-02 2.77075785E-02 4.45464783E-03
1.33652541E-02 2.26379616E-02 1.83786262E-03
1.47017700E-02 1.65192004E-02 1.13154770E-03
1.60382831E-02 1.19024838E-02 7.46457445E-04
1.73747933E-02 1.01288152E-02 7.24868903E-04
1.87113003E-02 8.48647288E-03 4.76312449E-04
2.00478039E-02 8.56667261E-03 5.16072100E-04
2.13843037E-02 7.03652368E-03 4.62481162E-04
2.27207996E-02 5.90080300E-03 3.66114689E-04
2.40572913E-02 5.47830892E-03 4.18403646E-04
2.53937785E-02 4.27959046E-03 3.12968883E-04
2.67302610E-02 4.31787794E-03 2.75202999E-04
2.80667386E-02 4.78429904E-03 2.97841093E-04
2.94032110E-02 4.41306169E-03 2.60875329E-04
3.07396780E-02 4.48635966E-03 2.55758358E-04
3.20761393E-02 4.72447239E-03 2.46956961E-04
3.34125946E-02 3.74778591E-03 2.40483115E-04
3.47490438E-02 4.43095081E-03 2.55474798E-04
3.60854865E-02 3.63115346E-03 2.42085500E-04
3.74219226E-02 3.52100452E-03 1.91761529E-04
3.87583518E-02 3.87133049E-03 2.32120901E-04
4.00947738E-02 3.66519161E-03 1.82201578E-04
4.14311883E-02 3.75287588E-03 2.04468199E-04
4.27675953E-02 3.36620495E-03 1.90058300E-04
4.41039943E-02 3.72036524E-03 2.00220732E-04
4.54403851E-02 3.96043054E-03 1.90792760E-04
4.67767676E-02 3.45070150E-03 1.73122784E-04
4.81131414E-02 3.69400622E-03 2.01157417E-04
4.94495063E-02 3.66147066E-03 1.82677051E-04
5.07858621E-02 3.53327016E-03 1.78843247E-04
5.21222085E-02 3.64760299E-03 1.73838976E-04
5.34585452E-02 3.32911058E-03 1.66145192E-04
5.47948721E-02 3.55453435E-03 1.65981859E-04
5.61311889E-02 3.47739359E-03 1.72010808E-04
5.74674952E-02 3.61419798E-03 1.61901816E-04
5.88037910E-02 3.73447318E-03 1.69106472E-04
6.01400758E-02 3.49768862E-03 1.62359663E-04
6.14763496E-02 3.60050321E-03 1.76570921E-04
6.28126120E-02 3.82546672E-03 1.67202688E-04
6.41488628E-02 3.54410903E-03 1.45855967E-04
6.54851017E-02 3.67967645E-03 1.63776372E-04
6.68213285E-02 3.52643415E-03 1.56842113E-04
6.81575430E-02 3.71103337E-03 1.58207813E-04
6.94937449E-02 3.43303682E-03 1.51945035E-04
7.08299339E-02 3.55338663E-03 1.69066134E-04
7.21661098E-02 3.49914147E-03 1.54745184E-04
7.35022724E-02 3.39088779E-03 1.54873141E-04
7.48384215E-02 3.43935557E-03 1.61775175E-04
7.61745566E-02 3.56144911E-03 1.61275352E-04
7.75106778E-02 3.40539822E-03 1.50785673E-04
7.88467845E-02 3.56413998E-03 1.51035073E-04
8.01828767E-02 3.64725294E-03 1.59737018E-04
8.15189541E-02 3.65394000E-03 1.47802976E-04
8.28550165E-02 3.60306823E-03 1.61478935E-04
8.41910635E-02 3.79091796E-03 1.52761941E-04
8.55270949E-02 3.44359629E-03 1.61338161E-04
8.68631106E-02 3.53778662E-03 1.51060790E-04
8.81991102E-02 3.25889836E-03 1.42711870E-04
8.95350935E-02 3.40224469E-03 1.38138102E-04
9.08710603E-02 3.88547622E-03 1.54939421E-04
9.22070102E-02 3.46674149E-03 1.50737895E-04
9.35429432E-02 3.48233726E-03 1.53481332E-04
9.48788588E-02 3.38331807E-03 1.49868468E-04
9.62147569E-02 3.45703131E-03 1.39900055E-04
9.75506373E-02 3.47860204E-03 1.56394245E-04
9.88864996E-02 3.30945388E-03 1.52009583E-04
1.00222344E-01 3.91305075E-03 1.65895490E-04
1.01558169E-01 3.48766420E-03 1.49073109E-04
1.02893976E-01 3.43793584E-03 1.42962436E-04
1.04229764E-01 3.81370807E-03 1.51817022E-04
1.05565532E-01 3.74618817E-03 1.40289548E-04
1.06901281E-01 3.47674633E-03 1.35213414E-04
1.08237011E-01 3.59662652E-03 1.36834464E-04
1.09572720E-01 3.41200952E-03 1.29512808E-04
1.10908409E-01 3.26418301E-03 1.20479707E-04
1.12244077E-01 3.60389581E-03 1.35074115E-04
1.13579725E-01 3.41349242E-03 1.28753684E-04
1.14915352E-01 3.58414848E-03 1.31487738E-04
1.16250958E-01 3.57247411E-03 1.26488286E-04
1.17586542E-01 3.46908006E-03 1.30464238E-04
1.18922104E-01 3.77418209E-03 1.30103963E-04
1.20257645E-01 3.57287265E-03 1.19875553E-04
1.21593163E-01 3.51051974E-03 1.22718892E-04
1.22928659E-01 3.49037540E-03 1.30668715E-04
1.24264132E-01 3.51812213E-03 1.32059341E-04
1.25599582E-01 3.31956835E-03 1.14403387E-04
1.26935009E-01 3.41238702E-03 1.14905547E-04
1.28270412E-01 3.60343216E-03 1.25568574E-04
1.29605792E-01 3.52996117E-03 1.15887115E-04
1.30941148E-01 3.54308109E-03 1.17949025E-04
1.32276480E-01 3.47226060E-03 1.10858286E-04
1.33611787E-01 3.53337241E-03 1.10298637E-04
1.34947070E-01 3.36434009E-03 1.11189186E-04
1.36282327E-01 3.52913294E-03 1.13334022E-04
1.37617560E-01 3.64738362E-03 1.11921356E-04
1.38952767E-01 3.48391894E-03 1.16859597E-04
1.40287948E-01 3.54623530E-03 1.07791082E-04
1.41623104E-01 3.35505287E-03 1.11663100E-04
1.42958234E-01 3.41129622E-03 1.13710529E-04
1.44293337E-01 3.47028022E-03 1.04743575E-04
1.45628413E-01 3.47887578E-03 1.18330914E-04
1.46963463E-01 3.40693775E-03 1.05950635E-04
1.48298485E-01 3.45452382E-03 1.02655061E-04
1.49633480E-01 3.51992988E-03 1.05507011E-04
1.50968447E-01 3.51124261E-03 1.10015082E-04
1.52303387E-01 3.39285994E-03 1.09797019E-04
1.53638298E-01 3.42026196E-03 1.06504344E-04
1.54973182E-01 3.50826701E-03 1.06070734E-04
1.56308036E-01 3.49657210E-03 1.07267710E-04
1.57642862E-01 3.39994866E-03 1.10073707E-04
1.58977658E-01 3.54448831E-03 1.08863694E-04
1.60312426E-01 3.51645877E-03 1.05976650E-04
1.61647163E-01 3.59682570E-03 1.05018396E-04
1.62981871E-01 3.24214952E-03 9.95957572E-05
1.64316549E-01 3.55084460E-03 1.03126572E-04
1.65651196E-01 3.39022724E-03 1.02536437E-04
1.66985813E-01 3.48885662E-03 1.02324105E-04
1.68320399E-01 3.42013657E-03 1.00516670E-04
1.69654954E-01 3.35970095E-03 9.85085545E-05
1.70989478E-01 3.57720255E-03 1.02375133E-04
1.72323970E-01 3.60868673E-03 1.07549465E-04
1.73658431E-01 3.21580471E-03 9.50388175E-05
1.74992859E-01 3.63902286E-03 1.01231295E-04
1.76327255E-01 3.58449979E-03 9.83794808E-05
1.77661619E-01 3.61119264E-03 1.03531428E-04
1.78995950E-01 3.34776822E-03 9.42351055E-05
1.80330247E-01 3.49264961E-03 9.95646438E-05
1.81664512E-01 3.47465400E-03 9.87155587E-05
1.82998743E-01 3.33248084E-03 9.68308340E-05
1.84332940E-01 3.48628711E-03 9.83699671E-05
1.85667104E-01 3.30174163E-03 9.50949630E-05
1.87001233E-01 3.49052870E-03 9.92943814E-05
1.88335327E-01 3.43782409E-03 1.00224580E-04
1.89669387E-01 3.41256560E-03 1.00064240E-04
1.91003412E-01 3.53131909E-03 9.93725186E-05
1.92337402E-01 3.51041032E-03 1.00180070E-04
1.93671356E-01 3.41756504E-03 1.00985990E-04
1.95005275E-01 3.46020104E-03 9.95494305E-05
1.96339157E-01 3.45300633E-03 9.77177187E-05
1.97673004E-01 3.37324556E-03 9.58359242E-05
1.99006814E-01 3.63267080E-03 9.83753407E-05
2.00340587E-01 3.41045499E-03 9.80929366E-05
2.01674324E-01 3.47281394E-03 1.00092046E-04
2.03008023E-01 3.58927714E-03 1.01064936E-04
2.04341685E-01 3.40004601E-03 9.69035048E-05
2.05675309E-01 3.44939775E-03 9.86578526E-05
2.07008895E-01 3.60959686E-03 1.01281831E-04
2.08342443E-01 3.41158723E-03 9.58035186E-05
2.09675953E-01 3.30062559E-03 9.43179052E-05
2.11009424E-01 3.48887205E-03 1.00020370E-04
2.12342856E-01 3.51982821E-03 9.88588978E-05
2.13676249E-01 3.43300612E-03 1.03167877E-04
2.15009603E-01 3.49323709E-03 9.80301385E-05
2.16342917E-01 3.55041814E-03 9.75660140E-05
2.17676192E-01 3.51044029E-03 9.67076716E-05
2.19009426E-01 3.47644120E-03 9.74527236E-05
2.20342620E-01 3.38941620E-03 9.31527625E-05
2.21675773E-01 3.47776494E-03 9.02124600E-05
2.23008885E-01 3.51792032E-03 9.18962578E-05
2.24341957E-01 3.33706301E-03 9.09674071E-05
2.25674987E-01 3.34545096E-03 9.04943153E-05
2.27007976E-01 3.37877047E-03 8.96429204E-05
2.28340922E-01 3.50464985E-03 9.49148374E-05
2.29673827E-01 3.41787268E-03 9.02216726E-05
2.31006689E-01 3.45122860E-03 9.26396410E-05
2.32339509E-01 3.31944516E-03 8.79918389E-05
2.33672286E-01 3.33375704E-03 8.53115853E-05
2.35005021E-01 3.60086311E-03 9.53592880E-05
2.36337711E-01 3.50733806E-03 8.97923280E-05
2.37670359E-01 3.44845427E-03 8.80817168E-05
2.39002962E-01 3.45627937E-03 8.45458732E-05
2.40335522E-01 3.49193257E-03 8.81293260E-05
2.41668037E-01 3.59570378E-03 9.19791581E-05
2.43000508E-01 3.42526357E-03 8.57413474E-05
2.44332934E-01 3.46831925E-03 8.44100410E-05
2.45665316E-01 3.48046245E-03 8.85950208E-05
2.46997652E-01 3.46000250E-03 8.44472871E-05
2.48329942E-01 3.50189833E-03 7.96846820E-05
2.49662187E-01 3.44474398E-03 8.64572884E-05
2.50994386E-01 3.34726008E-03 8.29439776E-05
2.52326539E-01 3.50149699E-03 8.27603381E-05
2.53658646E-01 3.49416045E-03 8.58050418E-05
2.54990705E-01 3.33711288E-03 8.41153967E-05
2.56322718E-01 3.57367720E-03 8.35026159E-05
2.57654684E-01 3.48217525E-03 8.33493515E-05
2.58986602E-01 3.55764094E-03 8.26781732E-05
2.60318473E-01 3.49509234E-03 8.52833324E-05
2.61650296E-01 3.32393449E-03 8.09457216E-05
2.62982071E-01 3.51748818E-03 8.41164762E-05
2.64313797E-01 3.52300405E-03 8.32651284E-05
2.65645475E-01 3.41861879E-03 8.28444799E-05
2.66977104E-01 3.55045470E-03 8.38192310E-05
2.68308684E-01 3.41677380E-03 7.94790914E-05
2.69640214E-01 3.55009348E-03 8.38434584E-05
2.70971695E-01 3.43088962E-03 8.13068158E-05
2.72303126E-01 3.48987009E-03 8.14854255E-05
2.73634508E-01 3.41816672E-03 8.04374456E-05
2.74965838E-01 3.37295916E-03 7.86880400E-05
2.76297119E-01 3.42759479E-03 8.00365532E-05
2.77628348E-01 3.37569486E-03 7.49490913E-05
2.78959527E-01 3.42129830E-03 7.95130654E-05
2.80290654E-01 3.52663935E-03 8.03174878E-05
2.81621730E-01 3.47525002E-03 7.97635498E-05
2.82952754E-01 3.50302523E-03 7.87373495E-05
2.84283726E-01 3.45990520E-03 7.78248191E-05
2.85614646E-01 3.40815402E-03 7.94268183E-05
2.86945514E-01 3.37822657E-03 7.78617360E-05
2.88276328E-01 3.49756549E-03 7.92256542E-05
2.89607090E-01 3.57304835E-03 8.30790662E-05
2.90937799E-01 3.48095525E-03 7.96644044E-05
2.92268454E-01 3.38293006E-03 7.84533313E-05
2.93599055E-01 3.40834005E-03 8.02269902E-05
2.94929603E-01 3.55087974E-03 8.36293495E-05
2.96260097E-01 3.48093850E-03 8.28678494E-05
2.97590536E-01 3.43037268E-03 8.10843784E-05
2.98920920E-01 3.31784125E-03 7.90001469E-05
3.00251250E-01 3.50439942E-03 8.08010894E-05
3.01581524E-01 3.20289997E-03 7.90318948E-05
3.02911743E-01 3.36621856E-03 7.77630595E-05
3.04241907E-01 3.37512556E-03 7.85042791E-05
3.05572015E-01 3.46896084E-03 7.90584421E-05
3.06902066E-01 3.52388087E-03 8.16421804E-05
3.08232062E-01 3.48262380E-03 8.00677117E-05
3.09562000E-01 3.47781885E-03 8.03050879E-05
3.10891882E-01 3.43106052E-03 8.01057263E-05
3.12221707E-01 3.57278953E-03 8.13618239E-05
3.13551475E-01 3.35160401E-03 7.82204480E-05
3.14881185E-01 3.32255857E-03 7.96399991E-05
3.16210838E-01 3.40850274E-03 7.67681953E-05
3.17540432E-01 3.33710593E-03 7.92996530E-05
3.18869968E-01 3.27046821E-03 7.98410885E-05
3.20199446E-01 3.52631780E-03 8.36857206E-05
3.21528865E-01 3.55127925E-03 8.26462516E-05
3.22858225E-01 3.44748417E-03 7.99157439E-05
3.24187526E-01 3.47952009E-03 7.96750539E-05
3.25516768E-01 3.38410213E-03 7.63328261E-05
3.26845949E-01 3.30085271E-03 7.71047838E-05
3.28175071E-01 3.46015947E-03 7.96584848E-05
3.29504133E-01 3.40053055E-03 7.80604168E-05
3.30833134E-01 3.40507641E-03 7.87859657E-05
3.32162075E-01 3.42113074E-03 7.55950994E-05
3.33490955E-01 3.39174390E-03 8.28882419E-05
3.34819774E-01 3.48737345E-03 8.02050244E-05
3.36148531E-01 3.42875746E-03 7.97952419E-05
3.37477227E-01 3.36260150E-03 7.74970902E-05
3.38805861E-01 3.38088211E-03 7.87300533E-05
3.40134433E-01 3.39489350E-03 7.93007224E-05
3.41462943E-01 3.36691337E-03 7.80274613E-05
3.42791390E-01 3.47202704E-03 7.91995143E-05
3.44119774E-01 3.39368580E-03 7.70686099E-05
3.45448095E-01 3.53091473E-03 8.02713820E-05
3.46776353E-01 3.38319645E-03 7.56494830E-05
3.48104548E-01 3.42206859E-03 7.72224247E-05
3.49432679E-01 3.47828889E-03 7.66960419E-05
3.50760746E-01 3.59304770E-03 8.25591797E-05
3.52088749E-01 3.41231268E-03 8.13573549E-05
3.53416687E-01 3.48764859E-03 7.93384216E-05
3.54744560E-01 3.44364252E-03 7.73274324E-05
3.56072369E-01 3.60830457E-03 8.15388495E-05
3.57400112E-01 3.54679631E-03 8.35724835E-05
3.58727791E-01 3.41779826E-03 8.25547073E-05
3.60055403E-01 3.36871145E-03 8.16430850E-05
3.61382950E-01 3.19789590E-03 8.10642258E-05
3.62710430E-01 3.37789263E-03 8.30593359E-05
3.64037844E-01 3.50801458E-03 8.49353959E-05
3.65365192E-01 3.45137795E-03 8.55739765E-05
3.66692473E-01 3.49086472E-03 8.71961527E-05
3.68019686E-01 3.42157483E-03 8.81171514E-05
3.69346833E-01 3.46992595E-03 8.79093908E-05
3.70673911E-01 3.29173372E-03 8.39428683E-05
3.72000922E-01 3.26715234E-03 8.12277682E-05
3.73327866E-01 3.36161071E-03 8.78978497E-05
3.74654740E-01 3.50424392E-03 9.20437236E-05
3.75981547E-01 3.57240523E-03 9.33024380E-05
3.77308284E-01 3.57950341E-03 9.21263666E-05
3.78634953E-01 3.43600475E-03 9.22927890E-05
3.79961552E-01 3.63332503E-03 8.96189048E-05
3.81288082E-01 3.42742436E-03 8.59043637E-05
3.82614543E-01 3.58636848E-03 9.32697343E-05
3.83940933E-01 3.43201413E-03 8.99141782E-05
3.85267254E-01 3.60558755E-03 9.30240810E-05
3.86593504E-01 3.65096165E-03 9.43536184E-05
3.87919683E-01 3.48621114E-03 9.08743433E-05
3.89245791E-01 3.57757626E-03 9.38122630E-05
3.90571829E-01 3.43371535E-03 8.75439549E-05
3.91897795E-01 3.48710118E-03 9.48383928E-05
3.93223690E-01 3.59893636E-03 9.89773983E-05
3.94549512E-01 3.41404384E-03 9.25351452E-05
3.95875263E-01 3.66787497E-03 9.43601756E-05
3.97200941E-01 3.42195605E-03 9.30546181E-05
3.98526547E-01 3.37130577E-03 9.46938806E-05
3.99852081E-01 3.45073413E-03 9.81043167E-05
4.01177541E-01 3.35575323E-03 9.53752242E-05
4.02502928E-01 3.57508595E-03 1.01482245E-04
4.03828242E-01 3.50544089E-03 9.68121561E-05
4.05153481E-01 3.43698406E-03 9.66577890E-05
4.06478647E-01 3.50874491E-03 9.80112481E-05
4.07803739E-01 3.62488775E-03 1.05188052E-04
4.09128757E-01 3.49151394E-03 9.83701391E-05
4.10453700E-01 3.54647806E-03 1.00714802E-04
4.11778568E-01 3.64824511E-03 1.01317908E-04
4.13103361E-01 3.69157807E-03 1.05934813E-04
4.14428078E-01 3.54177773E-03 9.83468173E-05
4.15752720E-01 3.48988819E-03 1.04274488E-04
4.17077287E-01 3.54992707E-03 9.59180832E-05
4.18401777E-01 3.63406797E-03 1.08964866E-04
4.19726191E-01 3.61291243E-03 1.05511885E-04
4.21050528E-01 3.46369985E-03 1.01389728E-04
4.22374789E-01 3.54484278E-03 1.01209943E-04
4.23698973E-01 3.64669130E-03 1.02379333E-04
4.25023079E-01 3.46592836E-03 1.03204461E-04
4.26347108E-01 3.48213484E-03 1.03720482E-04
4.27671060E-01 3.42549536E-03 1.04249379E-04
4.28994934E-01 3.58436365E-03 1.05730807E-04
4.30318729E-01 3.42143234E-03 1.00311970E-04
4.31642446E-01 3.54232204E-03 1.10289162E-04
4.32966085E-01 3.39206584E-03 1.01124358E-04
4.34289644E-01 3.50985026E-03 1.06466350E-04
4.35613125E-01 3.55459975E-03 1.04816592E-04
4.36936526E-01 3.56730878E-03 1.12958308E-04
4.38259848E-01 3.55184832E-03 1.08690707E-04
4.39583090E-01 3.49933448E-03 1.05431899E-04
4.40906252E-01 3.49778792E-03 1.08948333E-04
4.42229334E-01 3.48848034E-03 1.05750648E-04
4.43552335E-01 3.46818105E-03 1.03902729E-04
4.44875255E-01 3.47996634E-03 1.09724224E-04
4.46198095E-01 3.76077393E-03 1.16549634E-04
4.47520853E-01 3.52230457E-03 1.11026569E-04
4.48843531E-01 3.59405432E-03 1.09993148E-04
4.50166126E-01 3.62805349E-03 1.15163585E-04
4.51488640E-01 3.50017127E-03 1.06964773E-04
4.52811071E-01 3.58286744E-03 1.12082687E-04
4.54133420E-01 3.35659999E-03 1.13087901E-04
4.55455687E-01 3.54221534E-03 1.12315922E-04
4.56777871E-01 3.76295209E-03 1.20801408E-04
4.58099971E-01 3.39091991E-03 1.17539962E-04
4.59421989E-01 3.75540346E-03 1.23898129E-04
4.60743923E-01 3.68274193E-03 1.15827793E-04
