### DATA:
#
# 430
#      Q             I(Q)           Error     
1.06922151E-02  1.14057721E-02  1.31482445E-03
1.20287357E-02  1.16181981E-02  1.25425584E-03
1.33652541E-02  1.20875696E-02  5.37242785E-04
1.47017700E-02  1.13585386E-02  3.24624091E-04
1.60382831E-02  1.11619814E-02  2.63056518E-04
1.73747933E-02  1.18439401E-02  2.27927212E-04
1.87113003E-02  1.08177239E-02  2.10149220E-04
2.00478039E-02  1.11371788E-02  2.05301070E-04
2.13843037E-02  1.06650456E-02  1.82303758E-04
2.27207996E-02  1.05497759E-02  1.66993055E-04
2.40572913E-02  1.01131408E-02  1.58165384E-04
2.53937785E-02  1.02829648E-02  1.50788220E-04
2.67302610E-02  1.05626460E-02  1.46700639E-04
2.80667386E-02  1.01062740E-02  1.37778794E-04
2.94032110E-02  9.66692989E-03  1.29546845E-04
3.07396780E-02  9.87846942E-03  1.31505908E-04
3.20761393E-02  9.31504861E-03  1.21908279E-04
3.34125946E-02  9.30819174E-03  1.20978687E-04
3.47490438E-02  9.15844643E-03  1.17614238E-04
3.60854865E-02  8.78238174E-03  1.10337687E-04
3.74219226E-02  8.45557124E-03  1.08897389E-04
3.87583518E-02  8.15850062E-03  1.04793477E-04
4.00947738E-02  8.08981355E-03  1.04677710E-04
4.14311883E-02  7.73333346E-03  1.01169842E-04
4.27675953E-02  7.57552310E-03  9.68394235E-05
4.41039943E-02  7.39842071E-03  9.29269184E-05
4.54403851E-02  7.05873766E-03  8.85003535E-05
4.67767676E-02  6.88187571E-03  8.79611760E-05
4.81131414E-02  6.74809747E-03  8.70623442E-05
4.94495063E-02  6.53008480E-03  8.42794899E-05
5.07858621E-02  6.17949215E-03  8.11413699E-05
5.21222085E-02  6.14025749E-03  7.89211831E-05
5.34585452E-02  5.75246013E-03  7.86215570E-05
5.47948721E-02  5.41474437E-03  7.70911411E-05
5.61311889E-02  5.16417501E-03  7.39633811E-05
5.74674952E-02  5.03516387E-03  7.37917316E-05
5.88037910E-02  4.95405815E-03  7.30563755E-05
6.01400758E-02  4.90054876E-03  7.09522046E-05
6.14763496E-02  4.48787351E-03  6.86843098E-05
6.28126120E-02  4.27939731E-03  6.73667557E-05
6.41488628E-02  4.06159991E-03  6.48788974E-05
6.54851017E-02  3.81679807E-03  6.40329594E-05
6.68213285E-02  3.70731958E-03  6.28146694E-05
6.81575430E-02  3.50998383E-03  6.13672215E-05
6.94937449E-02  3.38643398E-03  6.35594527E-05
7.08299339E-02  3.31429018E-03  6.27162533E-05
7.21661098E-02  3.02310720E-03  6.14654939E-05
7.35022724E-02  2.88715014E-03  6.02671695E-05
7.48384215E-02  2.85007281E-03  5.98474519E-05
7.61745566E-02  2.60265552E-03  5.77794448E-05
7.75106778E-02  2.55783644E-03  5.81106752E-05
7.88467845E-02  2.35298685E-03  5.61356857E-05
8.01828767E-02  2.33624997E-03  5.86287608E-05
8.15189541E-02  2.11558085E-03  5.34749838E-05
8.28550165E-02  2.00006726E-03  5.37296157E-05
8.41910635E-02  1.86842176E-03  5.25924929E-05
8.55270949E-02  1.72665373E-03  4.97189170E-05
8.68631106E-02  1.74142085E-03  5.39715223E-05
