### DATA:
#
# 430
#      Q             I(Q)           Error     
1.06922151E-02  3.96486465E-04  -1.49831209E-03
1.20287357E-02  8.26615363E-04  4.38317827E-03
1.33652541E-02  7.83646709E-05  -1.46906405E-03
1.47017700E-02  -9.90690097E-04  1.19389044E-03
1.60382831E-02  4.14613062E-04  1.28269422E-03
1.73747933E-02  2.76549445E-04  8.65490988E-04
1.87113003E-02  -9.14941948E-05  3.03359393E-04
2.00478039E-02  -5.81550839E-04  3.27385888E-04
2.13843037E-02  -2.27222945E-05  2.04455328E-04
2.27207996E-02  -3.00953369E-04  3.25907570E-04
2.40572913E-02  1.67254258E-04  3.48335620E-04
2.53937785E-02  1.36045748E-04  2.61953024E-04
2.67302610E-02  6.80988320E-05  3.40598247E-04
2.80667386E-02  -1.10984493E-04  2.45894021E-04
2.94032110E-02  1.67926991E-04  3.70459643E-04
3.07396780E-02  -4.48834654E-05  8.03011592E-05
3.20761393E-02  1.45171069E-04  6.42301298E-04
3.34125946E-02  -2.00751401E-05  -7.29869097E-03
3.47490438E-02  1.73732010E-04  3.04878042E-04
3.60854865E-02  -3.12604236E-04  2.13776788E-04
3.74219226E-02  2.60486000E-04  2.52013763E-04
3.87583518E-02  -1.72079146E-04  1.43053026E-04
4.00947738E-02  1.81344840E-04  2.01790950E-04
4.14311883E-02  3.06042851E-04  2.37410677E-04
4.27675953E-02  1.41262330E-04  3.09063847E-04
4.41039943E-02  1.28092555E-04  1.93780286E-04
4.54403851E-02  -1.86147027E-04  3.10634819E-04
4.67767676E-02  9.77782448E-05  1.00598673E-04
4.81131414E-02  3.33904219E-05  9.25645919E-04
4.94495063E-02  -4.33454324E-05  1.17053205E-04
5.07858621E-02  -1.41386457E-04  2.64921432E-04
5.21222085E-02  -9.47093771E-05  2.36901787E-04
5.34585452E-02  -2.11632361E-04  1.85471376E-04
5.47948721E-02  8.09338295E-05  1.39578475E-04
5.61311889E-02  -9.52461854E-06  4.46905098E-05
5.74674952E-02  2.42829163E-04  3.07241099E-04
5.88037910E-02  2.65187990E-04  2.26282027E-04
6.01400758E-02  1.26147664E-04  2.96725070E-04
6.14763496E-02  2.26831948E-04  3.01733585E-04
6.28126120E-02  3.82708821E-05  1.63075354E-04
6.41488628E-02  -1.73982035E-04  2.06865499E-04
6.54851017E-02  -1.91074558E-04  2.86605093E-04
6.68213285E-02  1.59336275E-04  2.27072167E-04
6.81575430E-02  -6.00169620E-05  1.48373545E-03
6.94937449E-02  1.99261217E-04  2.43174257E-04
7.08299339E-02  -2.50423632E-04  1.16851401E-04
7.21661098E-02  5.79698957E-06  3.29700285E-04
7.35022724E-02  1.43214025E-05  -1.52311869E-04
7.48384215E-02  -1.28033376E-04  1.83225794E-04
7.61745566E-02  -8.26343434E-05  2.76600939E-04
7.75106778E-02  1.14400451E-05  -1.20177114E-04
7.88467845E-02  -1.11124474E-04  1.88534945E-04
8.01828767E-02  2.37214204E-04  2.45650631E-04
8.15189541E-02  -9.67716582E-05  5.53277470E-04
8.28550165E-02  6.64822531E-05  1.14718263E-04
8.41910635E-02  2.43866796E-04  1.62710729E-04
8.55270949E-02  1.21902121E-04  9.95843127E-05
8.68631106E-02  -3.06207979E-04  1.40329200E-04
8.81991102E-02  1.93312241E-04  2.21959044E-04
8.95350935E-02  -7.79147415E-06  1.07948214E-04
9.08710603E-02  8.01688594E-05  1.74952797E-04
9.22070102E-02  -7.44839988E-05  1.07645998E-04
9.35429432E-02  -3.56510090E-04  1.41059427E-04
9.48788588E-02  1.40002707E-04  1.86231517E-04
9.62147569E-02  2.05905021E-04  2.01501988E-04
9.75506373E-02  3.78195981E-05  3.16343072E-04
9.88864996E-02  9.05261508E-05  1.21820343E-04
1.00222344E-01  1.32211605E-04  3.59543552E-04
1.01558169E-01  8.63771798E-05  1.21447355E-04
1.02893976E-01  -8.19535215E-06  7.41869196E-05
1.04229764E-01  1.61004385E-04  1.64599458E-04
1.05565532E-01  -1.99724779E-04  1.99478555E-04
1.06901281E-01  3.96388954E-05  -4.37666538E-04
1.08237011E-01  -4.68043075E-05  1.14510886E-04
1.09572720E-01  -1.96846756E-05  4.37051591E-05
1.10908409E-01  1.83328149E-05  -6.32363056E-05
1.12244077E-01  -1.41079484E-04  9.30808050E-05
1.13579725E-01  -5.31378904E-05  1.17651912E-04
1.14915352E-01  1.91452098E-05  -7.25076820E-05
1.16250958E-01  -8.37081158E-05  1.22371681E-04
1.17586542E-01  -1.08476842E-04  1.93982380E-04
1.18922104E-01  -1.00163007E-04  1.44510993E-04
1.20257645E-01  8.83719206E-05  1.39779611E-04
1.21593163E-01  -1.76621136E-04  1.40386529E-04
1.22928659E-01  -6.16776118E-06  2.86249016E-05
1.24264132E-01  -8.33045252E-05  3.18155468E-04
1.25599582E-01  4.11934989E-06  -4.71009141E-05
1.26935009E-01  -9.32333379E-05  1.14467157E-04
1.28270412E-01  1.55188977E-04  1.82524562E-04
1.29605792E-01  1.08011265E-04  2.18730451E-04
1.30941148E-01  -1.73329586E-04  8.86472717E-05
1.32276480E-01  -3.11852814E-05  3.10076701E-04
1.33611787E-01  5.92805878E-05  1.07035095E-04
1.34947070E-01  -1.64154025E-04  7.80353499E-05
1.36282327E-01  1.72660507E-04  1.35721552E-04
1.37617560E-01  -1.18406883E-04  1.57886817E-04
1.38952767E-01  -2.83368635E-05  1.14991141E-03
1.40287948E-01  8.54878265E-05  7.83710996E-05
1.41623104E-01  8.26616339E-05  1.33723000E-04
1.42958234E-01  3.41370415E-05  1.72325327E-04
1.44293337E-01  -1.78644032E-04  9.83808582E-05
1.45628413E-01  2.54530648E-04  1.15672460E-04
1.46963463E-01  1.96353606E-04  1.69125468E-04
1.48298485E-01  5.21937758E-05  1.66746109E-04
1.49633480E-01  -8.72452286E-05  1.17773053E-04
1.50968447E-01  -1.10604394E-04  8.25469634E-05
1.52303387E-01  -2.22721217E-04  9.56710097E-05
1.53638298E-01  1.38848912E-05  -2.25487178E-04
1.54973182E-01  -1.46166747E-04  9.61111595E-05
1.56308036E-01  7.80872852E-05  2.25341489E-04
1.57642862E-01  -3.03825511E-05  5.52344122E-05
1.58977658E-01  -4.32433416E-05  1.84123343E-03
1.60312426E-01  -2.45031962E-06  2.91231829E-06
1.61647163E-01  -8.56413260E-05  8.46657627E-05
1.62981871E-01  8.73743569E-06  -2.15138446E-05
1.64316549E-01  -8.87136596E-05  6.84355755E-05
1.65651196E-01  -9.60230571E-05  9.17149318E-05
1.66985813E-01  -1.26443784E-04  8.15694955E-05
1.68320399E-01  -1.22175429E-05  1.65886863E-04
1.69654954E-01  8.39861098E-06  -3.11102348E-05
1.70989478E-01  -1.06650075E-04  7.46817146E-05
1.72323970E-01  -2.18344501E-04  9.03510701E-05
1.73658431E-01  -1.64729081E-04  8.61073785E-05
1.74992859E-01  6.07951422E-07  5.48104748E-06
1.76327255E-01  -2.07266995E-06  4.76043222E-06
1.77661619E-01  -9.00959498E-05  7.60422802E-05
1.78995950E-01  4.76249501E-05  2.26359276E-04
1.80330247E-01  -7.26675659E-05  6.00961640E-05
1.81664512E-01  -1.35543672E-04  1.07494230E-04
1.82998743E-01  7.46278452E-05  8.43963216E-05
1.84332940E-01  -8.91172271E-05  7.35783694E-05
1.85667104E-01  -1.16080897E-04  9.98310180E-05
1.87001233E-01  -1.51112596E-04  9.49453639E-05
1.88335327E-01  -3.33460880E-05  5.72951876E-05
1.89669387E-01  -2.80649722E-04  8.70441515E-05
1.91003412E-01  8.88549111E-05  1.01114791E-04
